studyId,siteName,isPoly,latDD (float),lonDD (float),polyWKT (string),collectionYear,latestYear,earliestYear,genus,species,subspecies,auth,studyTitle (string),investigators (string),webLocation (string),added
"sourcenode_database_itrdb_russ186","Berelekh",false,70.470000,144.270000,"",1909,1909,1200,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Hughes - Berelekh - LAGM - ITRDB RUSS186","Hughes, M.K.; Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.","https://doi.org/10.25921/0wck-w102",false
"sourcenode_database_itrdb_russ187","Kirlach",false,70.430000,143.930000,"",1994,1994,1493,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Hughes - Kirlach - LAGM - ITRDB RUSS187","Hughes, M.K.; Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.","https://doi.org/10.25921/624d-d064",false
"sourcenode_database_itrdb_russ217","Kotuikan River",false,70.366700,103.266700,"",1997,1997,1420,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Jacoby - Kotuikan River - LAGM - ITRDB RUSS217","Jacoby, G.C.; Frank, D.C.; Pederson, N.; Lovelius, N.; Shumilov, O.","https://doi.org/10.25921/b80t-m484",false
"sourcenode_database_itrdb_russ142","Tschokurdach, Ochotingna",false,70.280000,148.050000,"",1990,1990,1434,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Tschokurdach, Ochotingna - LAGM - ITRDB RUSS142","Schweingruber, F.H.","https://doi.org/10.25921/kxgc-s381",false
"sourcenode_database_itrdb_russ038","Kotuy River",false,70.270000,103.520000,"",1990,1990,1630,"Picea obovata Ledeb. = Picea abies (L.) H. Karst. subsp. obovata (Ledeb.) Hultén",,,,"Schweingruber - Kotuy River - PCOB - ITRDB RUSS038","Schweingruber, F.H.","https://doi.org/10.25921/p19n-rd94",false
"sourcenode_database_itrdb_russ160","Kotuy River B",false,70.270000,103.520000,"",1990,1990,1881,"Picea obovata Ledeb. = Picea abies (L.) H. Karst. subsp. obovata (Ledeb.) Hultén",,,,"Schweingruber - Kotuy River B - PCOB - ITRDB RUSS160","Schweingruber, F.H.","https://doi.org/10.25921/9rqc-b387",false
"sourcenode_database_itrdb_russ106","Batagay,Chandon-river",false,70.250000,138.170000,"",1991,1991,1550,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Batagay,Chandon-river - LAGM - ITRDB RUSS106","Schweingruber, F.H.","https://doi.org/10.25921/bcph-9816",false
"sourcenode_database_itrdb_russ188","Allayka",false,70.050000,146.450000,"",1994,1994,1572,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Hughes - Allayka - LAGM - ITRDB RUSS188","Hughes, M.K.; Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.","https://doi.org/10.25921/p5r4-xq69",false
"sourcenode_unknown_Uniform shrub growth response to June temperature across the North Slope of Alaska","Inigok Riparian",false,69.990000,-153.040000,"",2016,2016,1968,"Salix pulchra Cham.",,,,"Ackerman - Inigok Riparian - SAPC - ITRDB AK162","Ackerman, D.; Griffin, D.; Hobbie, S.E.; Popham, K.; Jones, E.; Finlay, J.C.","https://doi.org/10.25921/thhz-4d77",false
"sourcenode_unknown_Uniform shrub growth response to June temperature across the North Slope of Alaska","Inigok Upland",false,69.990000,-153.040000,"",2016,2016,1974,"Salix pulchra Cham.",,,,"Ackerman - Inigok Upland - SAPC - ITRDB AK163","Ackerman, D.; Griffin, D.; Hobbie, S.E.; Popham, K.; Jones, E.; Finlay, J.C.","https://doi.org/10.25921/z63z-vk39",false
"sourcenode_database_itrdb_norw029","Alta",false,69.920000,23.110000,"",2015,2015,1801,"Pinus sylvestris L.",,,,"Esper - Alta Wet - PISY - ITRDB NORW029","Esper, J.; Konter, O.; Kirchhefer, A.J.","https://doi.org/10.25921/y7wm-my03",false
"sourcenode_database_itrdb_norw030","Alta",false,69.920000,23.110000,"",2015,2015,1792,"Pinus sylvestris L.",,,,"Esper - Alta Dry - PISY - ITRDB NORW030","Esper, J.; Konter, O.; Kirchhefer, A.J.","https://doi.org/10.25921/2bkm-ty59",false
"sourcenode_database_itrdb_russ025","Olenok River",false,69.780000,119.120000,"",1990,1990,1482,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Olenok River - LAGM - ITRDB RUSS025","Schweingruber, F.H.","https://doi.org/10.25921/q2sz-y826",false
"sourcenode_database_itrdb_russ161","Olenok River",false,69.780000,119.120000,"",1990,1990,1800,"Picea obovata Ledeb. = Picea abies (L.) H. Karst. subsp. obovata (Ledeb.) Hultén",,,,"Schweingruber - Olenok River - PCOB - ITRDB RUSS161","Schweingruber, F.H.","https://doi.org/10.25921/1126-h015",false
"sourcenode_database_itrdb_russ065","Kuonamka River (trocken)",false,69.770000,112.820000,"",1990,1990,1564,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Kuonamka River (trocken) - LAGM - ITRDB RUSS065","Schweingruber, F.H.","https://doi.org/10.25921/5v04-2936",false
"sourcenode_database_itrdb_russ069","Kuonamka River (feucht)",false,69.770000,112.820000,"",1990,1990,1830,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Kuonamka River (feucht) - LAGM - ITRDB RUSS069","Schweingruber, F.H.","https://doi.org/10.25921/yz3e-6z49",false
"sourcenode_database_itrdb_russ031","Ozera Lama",false,69.580000,90.500000,"",1990,1990,1640,"Picea obovata Ledeb. = Picea abies (L.) H. Karst. subsp. obovata (Ledeb.) Hultén",,,,"Schweingruber - Ozera Lama - PCOB - ITRDB RUSS031","Schweingruber, F.H.","https://doi.org/10.25921/s0q6-ga19",false
"sourcenode_database_itrdb_norw008","Vikran",false,69.530000,18.730000,"",1992,1992,1599,"Pinus sylvestris L.",,,,"Kirchhefer - Vikran - PISY - ITRDB NORW008","Kirchhefer, A.J.","https://doi.org/10.25921/sj01-0053",false
"sourcenode_database_itrdb_russ094","Ayakli River A",false,69.530000,97.530000,"",1990,1990,1540,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Ayakli River A - LAGM - ITRDB RUSS094","Schweingruber, F.H.","https://doi.org/10.25921/dhtr-qn62",false
"sourcenode_database_itrdb_russ162","Ayakli River B",false,69.530000,97.530000,"",1990,1990,1872,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Ayakli River B - LAGM - ITRDB RUSS162","Schweingruber, F.H.","https://doi.org/10.25921/snpy-nr27",false
"sourcenode_database_itrdb_finl078","Ailijärvi Inari",false,69.520000,28.570000,"",2011,2011,1700,"Pinus sylvestris L.",,,,"Esper - Ailijärvi Inari Wet - PISY - ITRDB FINL078","Esper, J.; Holzkämper, S.; Timonen, M.","https://doi.org/10.25921/5zja-wv33",false
"sourcenode_database_itrdb_finl079","Ailijärvi Inari",false,69.520000,28.570000,"",2011,2011,1688,"Pinus sylvestris L.",,,,"Esper - Ailijärvi Inari Dry - PISY - ITRDB FINL079","Esper, J.; Holzkämper, S.; Timonen, M.","https://doi.org/10.25921/xpva-7788",false
"sourcenode_database_itrdb_cana319","Eagle Fecal/Horton River",false,69.500000,-127.833300,"",1994,1994,993,"Picea glauca (Moench) Voss",,,,"Jacoby - Eagle Fecal/Horton River - PCGL - ITRDB CANA319","Jacoby, G.C.; D'Arrigo, R.D.; Buckley, B.M.; Wiles, G.","https://doi.org/10.25921/cbt2-6y95",false
"sourcenode_database_itrdb_cana320","Ptarmigan",false,69.500000,-127.833300,"",1994,1994,1426,"Picea glauca (Moench) Voss",,,,"Jacoby - Ptarmigan - PCGL - ITRDB CANA320","Jacoby, G.C.; D'Arrigo, R.D.; Wiles, G.","https://doi.org/10.25921/4r1d-eg29",false
"sourcenode_database_itrdb_cana321","Ptarmigan",false,69.500000,-127.833300,"",1993,1993,1175,"Picea glauca (Moench) Voss",,,,"Jacoby - Eagle Fecal/Ptarmigan Merge - PCGL - ITRDB CANA321","Jacoby, G.C.; D'Arrigo, R.D.; Wiles, G.","https://doi.org/10.25921/4b9m-qb70",false
"sourcenode_database_itrdb_russ191","Northern Yakutia",false,69.500000,147.000000,"",1994,1994,1259,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Hughes - Northern Yakutia - LAGM - ITRDB RUSS191","Hughes, M.K.; Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.","https://doi.org/10.25921/7pam-g067",false
"sourcenode_database_itrdb_russ189","Nanjan",false,69.450000,150.250000,"",1994,1994,1500,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Hughes - Nanjan - LAGM - ITRDB RUSS189","Hughes, M.K.; Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.","https://doi.org/10.25921/hzwq-0c11",false
"sourcenode_database_itrdb_norw007","Karasjok",false,69.420000,25.630000,"",2001,2001,1698,"Pinus sylvestris L.",,,,"Meriläinen - Karasjok - PISY - ITRDB NORW007","Meriläinen, J.; Lindholm, M.; Timonen, M.","https://doi.org/10.25921/z93k-st63",false
"sourcenode_database_itrdb_norw023","Nikkavatnet",false,69.360000,18.730000,"",2014,2014,1834,"Pinus sylvestris L.",,,,"Esper - Nikkavatnet Wet - PISY - ITRDB NORW023","Esper, J.; Konter, O.; Kirchhefer, A.J.","https://doi.org/10.25921/spcc-qk74",false
"sourcenode_database_itrdb_norw024","Nikkavatnet",false,69.360000,18.730000,"",2014,2014,1788,"Pinus sylvestris L.",,,,"Esper - Nikkavatnet Dry - PISY - ITRDB NORW024","Esper, J.; Konter, O.; Kirchhefer, A.J.","https://doi.org/10.25921/npv5-8e54",false
"sourcenode_database_itrdb_norw027","Skibotn 2",false,69.350000,20.320000,"",2013,2013,1801,"Pinus sylvestris L.",,,,"Esper - Skibotn Wet - PISY - ITRDB NORW027","Esper, J.; Konter, O.; Kirchhefer, A.J.","https://doi.org/10.25921/b027-c314",false
"sourcenode_database_itrdb_norw028","Skibotn 2",false,69.350000,20.320000,"",2013,2013,1816,"Pinus sylvestris L.",,,,"Esper - Skibotn Dry - PISY - ITRDB NORW028","Esper, J.; Konter, O.; Kirchhefer, A.J.","https://doi.org/10.25921/2hms-8r68",false
"sourcenode_database_itrdb_finl061","Suojanpera",false,69.320000,28.130000,"",1983,1983,1532,"Pinus sylvestris L.",,,,"Briffa - Suojanpera - PISY - ITRDB FINL061","Briffa, K.R.","https://doi.org/10.25921/k5va-p176",false
"sourcenode_database_itrdb_russ059","Uel-Siktjach river",false,69.280000,125.330000,"",1990,1990,1694,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Uel-Siktjach river - LAGM - ITRDB RUSS059","Schweingruber, F.H.","https://doi.org/10.25921/kby3-1955",false
"sourcenode_database_itrdb_russ132","Andryuschkine",false,69.280000,154.770000,"",1991,1991,1449,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Andryuschkine - LAGM - ITRDB RUSS132","Schweingruber, F.H.","https://doi.org/10.25921/56ej-2w09",false
"sourcenode_database_itrdb_finl082","Juomusjärvi",false,69.260000,27.400000,"",2011,2011,1717,"Pinus sylvestris L.",,,,"Esper - Juomusjärvi Wet - PISY - ITRDB FINL082","Esper, J.; Holzkämper, S.; Timonen, M.","https://doi.org/10.25921/krcg-7559",false
"sourcenode_database_itrdb_finl083","Juomusjärvi",false,69.260000,27.400000,"",2011,2011,1700,"Pinus sylvestris L.",,,,"Esper - Juomusjärvi Dry - PISY - ITRDB FINL083","Esper, J.; Holzkämper, S.; Timonen, M.","https://doi.org/10.25921/mv01-8e21",false
"sourcenode_database_itrdb_norw004","Skibotn",false,69.250000,20.580000,"",1978,1978,1775,"Pinus sylvestris L.",,,,"Schweingruber - Skibotn - PISY - ITRDB NORW004","Schweingruber, F.H.","https://doi.org/10.25921/h08y-4h90",false
"sourcenode_database_itrdb_russ199","Tree Line",false,69.200000,161.433300,"",2007,2007,1821,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Bunn - Tree Line - LAGM - ITRDB RUSS199","Bunn, A.G.; Lloyd, A.H.; Berner, L.T.","https://doi.org/10.25921/vx1h-qy75",false
"sourcenode_database_itrdb_russ078","Kheta River",false,69.120000,84.500000,"",1990,1990,1624,"Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.",,,,"Schweingruber - Kheta River - LASI - ITRDB RUSS078","Schweingruber, F.H.","https://doi.org/10.25921/rsyb-gq62",false
"sourcenode_database_itrdb_russ079","Kheta River junge Bäume",false,69.120000,84.500000,"",1990,1990,1949,"Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.",,,,"Schweingruber - Kheta River junge Bäume - LASI - ITRDB RUSS079","Schweingruber, F.H.","https://doi.org/10.25921/7xhb-6w34",false
"sourcenode_database_itrdb_russ190","Argaa",false,69.120000,150.270000,"",1930,1930,1259,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Hughes - Argaa - LAGM - ITRDB RUSS190","Hughes, M.K.; Vaganov, E.A.; Shiyatov, S.G.; Touchan, R.; Funkhouser, G.","https://doi.org/10.25921/vnf2-hj40",false
"sourcenode_database_itrdb_norw009","Stonglandseidet",false,69.080000,17.220000,"",1997,1997,1403,"Pinus sylvestris L.",,,,"Kirchhefer - Stonglandseidet - PISY - ITRDB NORW009","Kirchhefer, A.J.","https://doi.org/10.25921/rk0q-kn10",false
"sourcenode_database_itrdb_norw021","Fisktjörna",false,69.060000,19.340000,"",2014,2014,1685,"Pinus sylvestris L.",,,,"Esper - Fisktjörna Wet - PISY - ITRDB NORW021","Esper, J.; Konter, O.; Kirchhefer, A.J.","https://doi.org/10.25921/35x4-bn19",false
"sourcenode_database_itrdb_norw022","Fisktjörna",false,69.060000,19.340000,"",2014,2014,1680,"Pinus sylvestris L.",,,,"Esper - Fisktjörna Dry - PISY - ITRDB NORW022","Esper, J.; Konter, O.; Kirchhefer, A.J.","https://doi.org/10.25921/j7nm-2s35",false
"sourcenode_database_itrdb_russ238","W Norilsk",false,69.016700,83.666700,"",2000,2000,1664,"Larix spp. Mill.",,,,"Esper - W Norilsk - LASP - ITRDB RUSS238","Esper, J.; Nievergelt, D.; Schweingruber, F.H.","https://doi.org/10.25921/gfg9-yx49",false
"sourcenode_unknown_A narrow window of summer temperatures associated with shrub growth in Arctic Alaska","Ice Cut Dalton Highway",false,69.000000,-148.800000,"",2010,2010,1920,"Alnus viridis var. crispa (Ait.) Turrill",,,,"Andreu-Hayles - Ice Cut Dalton Highway - ALCR - ITRDB AK174","Andreu-Hayles, L.; Anchukaitis, K.J.; Martin-Fernández, J.; D'Arrigo, R.D.","https://doi.org/10.25921/wqkx-0z64",false
"sourcenode_unknown_A narrow window of summer temperatures associated with shrub growth in Arctic Alaska","Ice Cut Dalton Highway",false,69.000000,-148.800000,"",2010,2010,1977,"Salix spp.",,,,"Andreu-Hayles - Ice Cut Dalton Highway - SASP - ITRDB AK175","Andreu-Hayles, L.; Anchukaitis, K.J.; Martin-Fernández, J.; D'Arrigo, R.D.","https://doi.org/10.25921/hfte-nv73",false
"sourcenode_pub_andreu-hayles_spotgartcifiefucc_2019","Kessi, Inari",false,68.930000,28.420000,"",2003,2003,1508,"Pinus sylvestris L.",,,,"Gutiérrez - Kessi, Inari - PISY - ITRDB FINL076","Gutiérrez, E.","https://doi.org/10.25921/j5rd-jd61",false
"sourcenode_database_itrdb_finl047","Kessi Inari",false,68.920000,28.480000,"",2001,2001,1622,"Pinus sylvestris L.",,,,"Meriläinen - Kessi Inari - PISY - ITRDB FINL047","Meriläinen, J.; Lindholm, M.; Timonen, M.; Eronen, M.","https://doi.org/10.25921/2ah0-aa52",false
"sourcenode_database_itrdb_finl062","Jurmarova",false,68.870000,26.880000,"",1983,1983,1560,"Pinus sylvestris L.",,,,"Briffa - Jurmarova - PISY - ITRDB FINL062","Briffa, K.R.","https://doi.org/10.25921/ctp6-kr59",false
"sourcenode_database_itrdb_norw019","Dividalur",false,68.860000,19.590000,"",2013,2013,1789,"Pinus sylvestris L.",,,,"Esper - Dividalur Wet - PISY - ITRDB NORW019","Esper, J.; Konter, O.; Kirchhefer, A.J.","https://doi.org/10.25921/rxst-w087",false
"sourcenode_database_itrdb_norw020","Dividalur",false,68.860000,19.590000,"",2013,2013,1742,"Pinus sylvestris L.",,,,"Esper - Dividalur Dry - PISY - ITRDB NORW020","Esper, J.; Konter, O.; Kirchhefer, A.J.","https://doi.org/10.25921/ajrs-eg53",false
"sourcenode_database_itrdb_finl021","Karhunpesäkivi Inari",false,68.830000,27.250000,"",2001,2001,1410,"Pinus sylvestris L.",,,,"Meriläinen - Karhunpesäkivi Inari - PISY - ITRDB FINL021","Meriläinen, J.; Lindholm, M.; Timonen, M.; Eronen, M.","https://doi.org/10.25921/kkqn-vt84",false
"sourcenode_database_itrdb_finl088","Karhunpesäkivi",false,68.830000,27.310000,"",2011,2011,1511,"Pinus sylvestris L.",,,,"Esper - Karhunpesäkivi Wet - PISY - ITRDB FINL088","Esper, J.; Holzkämper, S.; Timonen, M.","https://doi.org/10.25921/amk8-hz34",false
"sourcenode_database_itrdb_finl089","Karhunpesäkivi",false,68.830000,27.310000,"",2011,2011,1654,"Pinus sylvestris L.",,,,"Esper - Karhunpesäkivi Dry - PISY - ITRDB FINL089","Esper, J.; Holzkämper, S.; Timonen, M.","https://doi.org/10.25921/jtpz-jc57",false
"sourcenode_database_itrdb_norw010","Forfjorddalen 2",false,68.800000,15.730000,"",1994,1994,877,"Pinus sylvestris L.",,,,"Kirchhefer - Forfjorddalen 2 - PISY - ITRDB NORW010","Kirchhefer, A.J.","https://doi.org/10.25921/kfek-s264",false
"sourcenode_database_itrdb_russ107","Cherskij",false,68.800000,163.050000,"",1991,1991,1538,"Larix gmelinii (Rupr.) Kuzen.=L.kurulensis(Maxim ex Regel)Pilg.=L.dahuricaTurcz.exTratv=Larix cajanderi Mayr",,,,"Schweingruber - Cherskij - LAGM - ITRDB RUSS107","Schweingruber, F.H.","https://doi.org/10.25921/5b1h-h642",false
