,text,authors,sub_cluster
10,"Biogeochemical evidence for hydrologic changes during the Holocene in a lake sediment record from southeast Greenland | Holocene paleoclimate records from Greenland help us understand the response of the Greenland Ice Sheet and regional oceanic and atmospheric circulation systems to natural climate variability in order to place recent changes in a longer-term perspective. Here biogeochemical analysis of a lake sediment core from southeast Greenland is used to define changes in moisture balance and runoff during the Holocene in a catchment near the margin of the Greenland Ice Sheet. A 1.6 m sediment core that spans the last 8.8 ka was recovered from Flower Valley Lake on Ammassalik Island. Magnetic susceptibility, diatoms, bulk biogeochemical properties (TOC, C/N, C-13(org)), and lipid biomarkers (n-alkanes; C-16-C-31) reveal changes in clastic sedimentation and the relative input of terrestrial- and aquatic-derived organic matter. Hydrogen isotope values (D) of mid- (n-C-25) and long-chain (n-C-29, n-C-31) n-alkanes allow reconstruction of D of precipitation and summertime evaporation of lake water. Following a period of early lake ontogeny and landscape stabilization after deglaciation from 8.4 to 7.0 ka, the mid Holocene, 8.4-4.1 ka, is characterized by greater evaporative enrichment of the lake water as indicated by D records. After 4.1 ka, there is a decrease in evaporative enrichment of the lake water. There is also an abrupt transition to more variable sedimentation marked by sharp increases in magnetic susceptibility, C/N, C-13(org), and the concentration of long-chain n-alkanes, showing periodic delivery of terrestrial organic matter and clastic sediment to the lake. Higher insolation during the mid Holocene resulted in a warmer and drier climate with longer ice-free periods in the summer and enhanced evaporation of lake water. The reduction in insolation and colder temperatures during the late Holocene caused a reduction in evaporation of lake water over the last 4.1 ka and was accompanied by periodic increases in surface runoff, which correspond with intervals of cold Greenland Ice Sheet surface temperatures. | ['balascio', 'bradley', 'dandrea', 'perren'] | ","['balascio', 'bradley', 'dandrea', 'perren']",2
11,"Biostratigraphic evidence of the Allerod-Younger Dryas-Preboreal oscillation in northern Iceland | Basal sediments of Lake Torfadalsvatn, northern Iceland, record changes in terrestrial and limnic environments in the period 11,300-9000 C-14 yr B.P. These changes were probably forced by climate and connected with displacements of the marine polar front and sea-ice margin. Pollen, spores, green algae (Pediastrum), saturation isothermal remanent magnetization, and carbon content of the basal sediments provide the first detailed biostratigraphic record of the last glacial-interglacial transition in Iceland. During the first pioneer phase, beginning at ca. 11,300 C-14 yr B.P., grasses and fell-field herbs became established, and lake productivity was very low. At ca. 10,900 C-14 yr B.P., climatic and soil conditions became favorable for shrubs and dwarf shrubs. This change, together with increased limnic productivity, clearly indicates long seasons without ice-cover in the sea immediately north of Iceland. A return to a colder climate (Younger Dryas), probably in connection with a southward displacement of the marine polar front, occurred by 10,600 C-14 yr B.P. Shrub and dwarf-shrub vegetation disappeared, and limnic productivity diminished. A second pioneer vegetation phase, dominated by Oxyria/Rumex and grasses, was initiated by a change to longer seasons without sea ice at ca. 9900 C-14 yr B.P. This warming is also evident as a contemporaneous increase in lake productivity. After ca. 9400 C-14 yr B.P. the reestablishment of dwarf-shrub heaths and very high limnic productivity indicate further warming. (C) 1995 University of Washington. | ['rundgren'] | ",['rundgren'],4
12,"Characterization of the Medieval Climate Anomaly, Little Ice Age and recent warming in northern Lapland | The major climate events of the Common Era (CE) have global imprints but significant variations in their timing and magnitude have been suggested. For reliable assessments of the past climate patterns and their applications for evaluations of the ongoing changes, spatially comprehensive network of high-fidelity paleorecords are necessary. In this study, we reconstruct summer air temperatures of the past 2000 years from northern Lapland (Utsjoki, Finland). We use fossil Chironomidae (Diptera) assemblages from sediments of a remote subarctic lake (Loazzejavri) and the transfer function approach for quantitative temperature reconstruction. The results indicate that the Chironomidae fauna were responding to air temperature and the core assemblages had good modern analogues in the calibration set allowing reliable paleoclimate reconstruction. In our reconstruction, a warm period between similar to 900 and 1300 CE is synchronous with the globally defined extent of the Medieval Climate Anomaly (MCA), though beginning considerably later than previously reconstructed for eastern Scandinavia. The MCA was also relatively mild, as the temperatures were only 0.5 degrees C higher than the record average. Similar to eastern Scandinavia, a cold period corresponding to the Little Ice Age (LIA) was longer that typically observed in hemispheric reconstructions beginning already at similar to 1400 CE and lasting very close to modern times. We also found confirming evidence that the LIA was interrupted by a short-lived warmer period dividing it into two separate cold events in the region. Based on our results, the present is warmer than during any time of the MCA displaying how rapid and severe the ongoing climate change is. | ['kivila', 'luoto', 'nevalainen', 'rantala'] | ","['kivila', 'luoto', 'nevalainen', 'rantala']",2
13,"CHELYDRA SERPENTINA (Snapping Turtle). WINTER DROUGHT REFUGIA |  | ['king', 'schlimm', 'smith'] | ","['king', 'schlimm', 'smith']",4
14,"Chironomid-inferred air temperatures from Lateglacial and Holocene sites in north-west Europe: progress and problems | Non-biting midges (Insecta: Diptera: Chironomidae) are now widely recognised as powerful biological proxies for inferring past climatic change. In this paper the response of chironomid assemblages to Lateglacial and Holocene climatic change from sites in Scotland and Norway is discussed. Analyses have shown that midge assemblages have responded to major and minor climatic fluctuations during the last 15,000 yr, such as the Aegelsee Oscillation, Gerzensee Oscillation and Younger Dryas in the Lateglacial, and the thermal optimum, ""Little Ice Age"" and cooling events at 8.2 and 2.0 cal ka BP in the Holocene. In an attempt to quantify these and other climatic fluctuations a chironomid-mean July air temperature inference model. based on a modern calibration set of 109 lakes in Norway and Svalbard. has been developed. The 3-component weighted averaging partial least squares inference model performs well with a root mean squared error of prediction of 0.90 degreesC and a maximum bias of 0.59 degreesC (both based on leave-one-out cross-validation) which is lower than chironomid-temperature inference models developed in Canada, Switzerland and Finland. However, while temperature-inference models perform well in the Lateglacial, the more subtle climatic changes of the Holocene are more difficult to reconstruct because the likely temperature changes are close to the limits of the prediction errors of the existing models. To address this problem, future work is required to refine and develop the calibration set by further improving taxonomic resolution, by adding more lakes to the calibration set and by investigating the influence of other environmental variables on chironomid distributions and abundances. (C) 2001 Elsevier Science Ltd. All rights reserved. | ['birks', 'brook'] | ","['birks', 'brook']",2
15,"Chironomid records | Late pleistocene of Europe | Qualitative and quantitative late Pleistocene climate reconstructions based on chironomid assemblages are reviewed. Several qualitative records are available which provide useful insights into late glacial climate dynamics. At present, high-resolution, low-error, chironomid-inferred mean July air temperature reconstructions are available from only four sites in Europe (one each from Norway, Scotland, England, and France), but each provides quantitative climate reconstructions that are comparable in the level of detail with oxygen-isotope records. The trends and temperature estimates of the chironomid-inferred reconstructions are largely corroborated by results derived from other biological and nonbiological proxies, although more records are needed if the reasons for inconsistencies between records are to be understood and resolved. Consistent differences between the trends in the oxygen-isotope GRIP ice-core records and oxygen-isotope records from England and southern Germany are also reflected in the chironomid-derived records that more closely resemble local isotope records. This highlights the regional differences in climate across Europe during the late glacial and underlines that it should not be assumed that the GRIP record equates to European climate in general. © 2007 Elsevier B.V. All rights reserved. | ['brook'] | ","Qualitative quantitative late Pleistocene climate reconstructions based chironomid assemblages reviewed. Several qualitative records available which provide useful insights into late glacial climate dynamics. present, high-resolution, low-error, chironomid-inferred mean July temperature reconstructions available from only four sites Europe (one each from Norway, Scotland, England, France), each provides quantitative climate reconstructions that comparable level detail with oxygen-isotope records. trends temperature estimates chironomid-inferred reconstructions largely corroborated results derived from other biological nonbiological proxies, although more records needed reasons inconsistencies between records understood resolved. Consistent differences between trends oxygen-isotope GRIP ice-core records oxygen-isotope records from England southern Germany also reflected chironomid-derived records that more closely resemble local isotope records. This highlights regional differences climate across Europe during late glacial underlines that should assumed that GRIP record equates European climate general. 2007 Elsevier B.V. rights reserved.",4
16,"Chironomids as a tool for inferring Holocene climate: an assessment based on six sites in southern Scandinavia | Chironomid subfossil assemblages from six low-alpine and sub-alpine Holocene stratigraphies are presented and compared. They are from five lakes in mid-southern and western Norway and one in central Sweden. When comparing the chironomid-inferred July air temperatures, there are many time segments with a poor among-lake fit in inferred temperatures. Possible environmental variables influencing the fossil chironomid assemblages are discussed using a modern Norwegian calibration data set to indicate taxon-environment relationships. These analyses indicate that local changes in pH, water chemistry, and productivity at times may have overridden the regional temperature signal. In addition, other causes of poor among-site temperature fit are discussed, in particular those related to chronological uncertainties. Holocene temperature inferences from single cores based on chironomids may not always be able to provide a reliable regional temperature signal, but can act as a guide from which hypotheses about past environmental conditions can be tested with the aid of chironomid-inferred temperatures from several sites and from other environmental proxies. We have obtained a regional picture of Holocene summer temperature change by developing a consensus reconstruction based on the overall temperature signal from all six sites. This consensus is developed by fitting a smoother through all 330 site-specific temperature-deviations from the Holocene mean. The consensus temperature deviations vary from -0.8 degrees C at 8800 cal years BP to +0.8 degrees C at 6500 cal years BP. (c) 2004 Elsevier Ltd. All rights reserved. | ['birks', 'brook', 'velle', 'willassen'] | ","['birks', 'brook', 'velle', 'willassen']",2
17,"Chronology of the last deglaciation and Holocene environmental changes in the Sisimiut area, SW Greenland based on lacustrine records | The Sisimiut area was deglaciated in the early Holocene, c. 11?cal.?ka BP. At that time the lowlands were inundated by the sea, but the isostatic rebound surpassed the global sea-level rise, and the lowlands emerged from the sea. The pioneer vegetation in the area consisted of mosses and herbaceous plants. The oldest remains of woody plants (Empetrum nigrum) are dated to c. 10.3?cal.?ka BP, and remains of Salix herbacea and Harrimanella hypnoides are found in slightly younger sediments. The maximum occurrence of statoblasts of the bryozoan Plumatella repens from c.?10 to 4.5?cal.?ka BP probably reflects the Holocene thermal maximum, which is also indicated in geochemical proxies of the lake sediments. A maximum in organic matter accumulation in one of the three studied lakes c. 3?cal.?ka BP can probably be ascribed to a late Holocene short-duration temperature maximum or a period of increased aridity. Cenococcum geophilum sclerotia are common in the late Holocene, implying increased soil erosion during the Neoglaciation. A comparison with sediment and macrofossil records from inland shows similar Holocene trends and a similar immigration history. It also reveals that there has been a significant gradient throughout the Holocene, from an oceanic and stable climate at the outer coast to a more continental and unstable climate with warmer summers and drier conditions close to the margin of the Greenland ice sheet, where the buffer capacity of the sea is lower. | ['bennike', 'wagner'] | ","['bennike', 'wagner']",2
18,"Holocene climate conditions in central Yakutia (Eastern Siberia) inferred from sediment composition and fossil chironomids of Lake Temje | A 380 cm long sediment core from Lake Temje (central Yakutia, Eastern Siberia) was studied to infer Holocene palaeoenvironmental change in the extreme periglacial setting of eastern Siberia during the last 10,000 years. Data on sediment composition were used to characterize changes in the depositional environment during the ontogenetic development of the Lake Temje. The analysis of fossil chironomid remains and statistical treatment of chironomid data by the application of a newly developed regional Russian transfer functions provided inferences of mean July air temperatures (TJuly) and water depths (WD). Reconstructed WDs show minor changes throughout the core and range between 80 and 120 cm. All the fluctuations in reconstructed water depth lie within the mean error of prediction of the inference model (RMSEP = 0.35) so it is not possible to draw conclusions from the reconstructions. A qualitative and quantitative reconstruction of Holocene climate in central Yakutia recognized three stages of palaeoenvironmental changes. The early Holocene between 10 and 8 ka BP was characterized by colder-than-today and moist summer conditions. Cryotextures in the lake sediments document full freezing of the lake water during the winter time. A general warming trend started around 8.0 ka BP in concert with enhanced biological productivity. Reconstructed mean TJuly were equal or up to 1.5 [degree]C higher than today between 6.0 ka and 5.0 ka BP. During the entire late Holocene after 4.8 ka BP, reconstructed mean TJuly remained below modern value. Limnological conditions did not change significantly. The inference of a mid-Holocene climate optimum supports scenarios of Holocene climatic changes in the subpolar part of eastern Siberia and indicates climate teleconnections to the North Atlantic realm. (C) 2012 Elsevier Ltd and INQUA. All rights reserved. | ['diekmann', 'luepfert', 'nazarova', 'pestryakova', 'subetto'] | ","['diekmann', 'luepfert', 'nazarova', 'pestryakova', 'subetto']",1
19,"Holocene climate conditions and glacier variation in central Iceland from physical modelling and empirical evidence | Lacustrine sediment cores from proglacial lake Hvitarvatn, central Iceland, reveal a detailed chronology of Holocene sedimentation, from which environmental conditions and the attendant fluctuations of Langjokull ice cap have been interpreted. We apply a numerical ice-sheet model to determine the climatic conditions under which the empirical reconstruction is glaciologically plausible. Modelling constraints are derived from core records of diatom concentration, benthic diatom fraction, and ice-rafted debris occurrence, as well as lake bottom morphology and the present-day ice-cap geometry. Holocene simulations driven by the NGRIP delta O-18 record that are consistent with the empirical constraints show the most extensive advance of Langjokull ice cap to be its most recent, beginning somewhere between 5 and 3 ka BP. Ice advance in response to the 8.2 ka BP cold event is followed by several thousand years of nearly ice-free conditions in the mid-Holocene. All simulations suggest that the maximum Holocene stand of the ice cap occurred during the Little Ice Age (LIA); those consistent with the constraints show little to no ice advance into Hvitarvatn before similar to 1 ka BP and indicate the lake area occupied by ice was much greater during the LIA than at any previous time. The most plausible simulation results were obtained for a maximum Holocene warming of 3-4 degrees C relative to the 1961-1990 reference, twice the Arctic average, and for Holocene Thermal Maximum (HTM) precipitation amounts comparable to or slightly greater than the modern. Reconciling the simulated subglacial discharge record to the empirically derived sediment volumes and emplacement times requires mean Holocene sediment concentrations of 0.8-1.6 kg m(-3). These estimates increase to 1.4-2.0 kg m(-3) when sedimentation rates are highest. (C) 2008 Published by Elsevier Ltd. | ['bjornsson', 'black', 'clarke', 'flower', 'geirsdottir', 'miller'] | ","['bjornsson', 'black', 'clarke', 'flower', 'geirsdottir', 'miller']",1
20,"Climate driven declines in terrestrial input over the middle and late Holocene of perched boreal lakes in northeast Ontario (Canada) and teleconnections to the North Atlantic | The landscape of northeast Ontario, Canada, is dominated by glacial and postglacial landforms including numerous boreal lakes that formed following the retreat of the Laurentide Ice Sheet (LIS) and Glacial Lake Ojibway. This study uses micro-X-Ray Fluorescence elemental analysis to examine changes in sediment cores from two boreal lakes from northeast Ontario with the goal of inferring changes in terrestrial inputs and redox status of these lakes over the middle to late Holocene. These headwater lakes were selected as they have small watersheds that minimizes the complexity of hydrological responses, and as they are relatively proximal (similar to 130 km distance between lakes) to allow the detection of regional signals related to changes in climate over the Holocene. Strong correlations between Si, K, Ca, and Ti in Hogback Lake and Green Lake cores suggest that these elements represent proxies of terrestrial input. Standardized composite trends of these elements were very similar between the two lakes and were combined to represent a regional signal, with the highest terrestrial inputs between similar to 6000 and similar to 4000 cal yr BP, that subsequently declined through the Holocene. These results suggest that regional patterns in terrestrial input are linked to changes in hydroclimate and likely increased terrestrial stability over the middle to late Holocene. These composite trends are compared to similar geochemical composite trends from Iceland suggesting climate teleconnections between northeast North America and the North Atlantic. Cool conditions in the North Atlantic result in increased soil erosion in Iceland and correspond to cool and dry conditions in boreal northeast Ontario with corresponding low inputs of terrestrial material, and vice versa, over multidecadal time scales over the middle to late Holocene. (C) 2021 Elsevier Ltd. All rights reserved. | ['cumming', 'gushulak', 'reinhardt'] | ","['cumming', 'gushulak', 'reinhardt']",4
21,"Climate changes in East Europe and Siberia at the late glacial-holocene transition | The main climatic oscillations of the Lateglacial/Early Holocene (Allerod, Younger Dryas, and Preboreal) can be distinguished all over Eastern Europe and Siberia, Distribution of the main climatic indices in the Lategglacial Early Holocene. from west to east in Northern Eurasia, shows that variations of the mean January temperature (t(Jan)(o)) were larger. than those of July temperature (t(July)(o)) As at present t(Jan)(o) decreased to the east, while the deviations from the present-day values were greater in the west. During the Younger Dryas the seasonality of climate increased considerably, especially in the western (European) part of the studied area. The greatest negative temperature deviations from the present-day values (up to -14 degreesC) occurred in the northwestern part of the East European Plain. near the Scandinavian ice-sheet. It can be explained by a cooling influence from the remaining large ice body. Accordingly with degradation of the ice-sheet at the warmer intervals of the Lateglacial and Early Holocene, the regional differences in temperature deviations became smaller (up to 8degreesC). On the whole, precipitation (P) decreased in an easterly direction, though its deviations from the modern level varied for different time-intervals. During the Younger Dryas, P amounted to 60-65% of the present-day values in the East European Plain. 80% in central West Siberia. and only 50 in central Yakutia. For the entire Northern Eurasia, P did not exceed 300-350 mm/yr (in Yakutia it was only 100 mm/yr), levels typical for present-day dry steppe and semidesert zones. Nevertheless. the reconstructed changes of the main climatic indexes were proportional to the present-day climatic characteristics, so that the general tendencies of their contemporary distribution in the mid-latitudes were preserved during the entire Lateglacial Early Holocene interval. This shows that the general circulation of the atmosphere and geographical distribution of the main Highs and Lows in the studied time-interval were in essence similar to the present-day ones. Boundaries of permafrost in Lateglacial and Earl Holocene migrated in response to climate changes. The southern limit of permafrost during the Allerod was at 60degreesN in East Europe and 55degreesN in West Siberia. During the Younger Dryas it moved south to 50-52degreesN in East Europe, and parabolic sand dunes were formed. (C) 2002 Elsevier Science Ltd and INQUA. All rights reserved. | ['catto', 'drenova', 'klimanov', 'kremenetski', 'nechaev', 'velichko'] | ","['catto', 'drenova', 'klimanov', 'kremenetski', 'nechaev', 'velichko']",2
22,"Climate and environmental history at Lake Levinson-Lessing, Taymyr Peninsula, during the last 62 kyr | The 45.95 m-long sediment succession shown in core Co1401 from Lake Levinson-Lessing allows the reconstruction of the largely unexplored environmental and climatic history of the Taymyr Peninsula of the past 62 kyr. The core was analysed with a multidisciplinary approach including lithological, granulometric, geochemical and pollen analyses. The proxy data indicate a relatively stable, herb-dominated environment with only subtle changes between a cold/wet late Marine Isotope Stage (MIS) 4 and early MIS 3, mild/dry middle and late MIS 3 and a cold/dry MIS 2. The absence of pronounced climate fluctuations demonstrates that the Lake Levinson-Lessing catchment was not covered by an ice sheet during this period. Changes in precipitation were likely caused by waxing and waning of the large Eurasian ice sheets outside of the Taymyr Peninsula, which changed the eastward moisture transport and atmospheric circulation patterns. MIS 1 at Lake Levinson-Lessing was associated with overall warmer and wetter conditions and short-term climate fluctuations during the Bolling-Allerod warming, Younger Dryas cooling and Preboreal transition, which indicates the influence of North Atlantic air masses. | ['andreev', 'fedorov', 'gromig', 'krastel', 'lebas', 'lenz', 'lenz', 'melles', 'scheidt', 'wagner'] | ","['andreev', 'fedorov', 'gromig', 'krastel', 'lebas', 'lenz', 'lenz', 'melles', 'scheidt', 'wagner']",2
